USE BD_CONCESSIONARIAS;

INSERT INTO COMPONENTES_EXTERNOS (qtd_portas, qtd_assentos, roda_aro, roda_pneu, tipo_retrovisor, id_carro) VALUES
(4, 5, 16, '205/55', 'Elétrico com Repetidor LED', 1),
(4, 5, 18, '235/40', 'Elétrico com Rebatimento', 2),
(4, 5, 18, '265/60', 'Elétrico com Repetidor LED', 3),
(4, 5, 17, '205/55', 'Elétrico com Repetidor LED', 4),
(4, 5, 17, '205/55', 'Elétrico com Repetidor LED', 5),
(4, 5, 15, '185/60', 'Elétrico com Repetidor LED', 6),
(4, 5, 18, '255/60', 'Elétrico com Repetidor LED', 7),
(4, 5, 17, '215/55', 'Elétrico com Repetidor LED', 8),
(4, 5, 16, '185/55', 'Elétrico com Repetidor LED', 9),
(4, 5, 18, '235/45', 'Elétrico com Repetidor LED', 10),
(4, 5, 18, '225/50', 'Elétrico com Repetidor LED', 11),
(4, 7, 18, '265/60', 'Elétrico com Repetidor LED', 12),
(4, 5, 18, '225/40', 'Elétrico com Rebatimento', 13),
(2, 2, 15, '205/60', 'Elétrico com Rebatimento', 14),
(4, 5, 17, '205/50', 'Elétrico com Repetidor LED', 15),
(4, 7, 20, '255/45', 'Elétrico com Rebatimento', 16),
(4, 5, 18, '215/50', 'Elétrico com Repetidor LED', 17),
(4, 5, 17, '205/50', 'Elétrico com Repetidor LED', 18),
(4, 5, 16, '195/55', 'Elétrico com Repetidor LED', 19),
(4, 5, 16, '195/55', 'Elétrico com Repetidor LED', 20),
(4, 5, 17, '215/55', 'Elétrico com Repetidor LED', 21),
(4, 5, 19, '235/50', 'Elétrico com Repetidor LED', 22),
(4, 5, 17, '215/55', 'Elétrico com Repetidor LED', 23),
(4, 5, 18, '265/60', 'Elétrico com Repetidor LED', 24),
(4, 7, 16, '205/60', 'Elétrico com Repetidor LED', 25),
(2, 4, 20, '245/40 (dianteiro), 275/35 (traseiro)', 'Elétrico com Rebatimento', 26),
(4, 5, 19, '235/45', 'Elétrico com Repetidor LED', 27),
(4, 5, 20, '255/55', 'Elétrico com Rebatimento', 28),
(4, 5, 15, '205/60', 'Elétrico com Repetidor LED', 29),
(4, 5, 16, '195/55', 'Elétrico com Repetidor LED', 30),
(4, 5, 18, '225/60', 'Elétrico com Repetidor LED', 31),
(4, 5, 17, '215/55', 'Elétrico com Repetidor LED', 32),
(4, 5, 14, '175/65', 'Elétrico com Repetidor LED', 33),
(4, 5, 18, '225/55', 'Elétrico com Repetidor LED', 34),
(4, 5, 19, '235/45', 'Elétrico com Repetidor LED', 35),
(4, 7, 19, '235/45', 'Elétrico com Repetidor LED', 36),
(4, 5, 21, '285/45', 'Elétrico com Repetidor LED', 37),
(4, 5, 18, '265/60', 'Elétrico com Repetidor LED', 38),
(4, 5, 17, '225/65', 'Elétrico com Repetidor LED', 39),
(4, 5, 20, '275/60', 'Elétrico com Rebatimento', 40),
(4, 5, 18, '235/50', 'Elétrico com Repetidor LED', 41),
(4, 5, 18, '255/70', 'Elétrico com Rebatimento', 42),
(2, 4, 19, '255/40', 'Elétrico com Rebatimento', 43),
(4, 5, 16, '195/55', 'Elétrico com Repetidor LED', 44),
(4, 5, 16, '205/55', 'Elétrico com Repetidor LED', 45),
(4, 5, 21, '275/40 (dianteiro), 315/35 (traseiro)', 'Elétrico com Rebatimento', 46),
(4, 7, 21, '285/45', 'Elétrico com Rebatimento', 47),
(4, 5, 21, '245/45', 'Elétrico com Rebatimento', 48),
(4, 5, 19, '225/45', 'Elétrico com Repetidor LED', 49),
(4, 5, 19, '225/45', 'Elétrico com Repetidor LED', 50),
(4, 5, 19, '275/35', 'Elétrico com Rebatimento', 51),
(2, 4, 19, '275/35', 'Elétrico com Rebatimento', 52),
(4, 5, 19, '245/40', 'Elétrico com Rebatimento', 53),
(4, 5, 19, '235/50', 'Elétrico com Rebatimento', 54),
(4, 7, 19, '235/50', 'Elétrico com Rebatimento', 55),
(4, 5, 19, '255/45', 'Elétrico com Rebatimento', 56),
(4, 7, 21, '275/50', 'Elétrico com Rebatimento', 57),
(4, 5, 20, '275/50', 'Elétrico com Rebatimento', 58);
